0x71013c12a0,"MicInput"
0x71013c197b,"ParButton1"
0x71013c1986,"FileDataChange_In"
0x71013c1998,"FadeIn"
0x71013c199f,"スタッフロール『おしまい』"
0x71013c19c7,"カウンタースコア"
0x71013c19e0,"AIcon"
0x71013c19e6,"ControllerChangeTimeUp"
0x71013c19fd,"GhostShowAll"
0x71013c1a0a,"Processing"
0x71013c1a15,"CrownAppear"
0x71013c1a21,"WipeCurtainResult"
0x71013c1a33,"NewRecord"
0x71013c1a3d,"  Color"
0x71013c1a45,"  <%c> +0x10"
0x71013c1a52,"    A->B->...->Z"
0x71013c1a63,"SoundLevel++"
0x71013c1a70,"BIT %02X      "
0x71013c1a7f,"EOR %02X%02X,x  "
0x71013c1a90,"undef bra_80"
0x71013c1a9d,"undef sta_83"
0x71013c1aaa,"DEC %02X      "
0x71013c1ab9,"undef jml_dc"
0x71013c1ac6,"BEQ %02X      "
0x71013c1ad5,"OnWait"
0x71013c1adc,"BoundTrampoline"
0x71013c1aec,"NormalRight"
0x71013c1af8,"BindWarpKoopaJr"
0x71013c1b08,"被り物"
0x71013c1b12,"IsForceChangeItem"
0x71013c1b24,"BoomerangFlower"
0x71013c1b34,"ShadowPicture"
0x71013c1b42,"Bush"
0x71013c1b47,"CandlestandNoStand"
0x71013c1b5a,"FireAttack"
0x71013c1b65,"IsInvalidClipping"
0x71013c1b77,"IsCountAsAlive"
0x71013c1b86,"リングリスト"
0x71013c1b99,"Knock"
0x71013c1b9f,"ObjPointWait"
0x71013c1bac,"花火ライト"
0x71013c1bbc,"FishColony"
0x71013c1bc7,"FlingPoleCamera"
0x71013c1bd7,"FlipPanelParts"
0x71013c1be6,"PgDisappearSign"
0x71013c1bf6,"TransitionWakeUp"
0x71013c1c07,"Path Swing Offset Y"
0x71013c1c1b,"Path Circle Move Height"
0x71013c1c33,"Giga Bell Movement Pattern Atom"
0x71013c1c53,"Camera 2 Freeze Time"
0x71013c1c68,"Height"
0x71013c1c6f,"PgCoin"
0x71013c1c76,"IsConsistentAngle"
0x71013c1c88,"FocusCameraInStep"
0x71013c1c9a,"IsDisasterTrigger"
0x71013c1cac,"%d"
0x71013c1caf,"FireWork"
0x71013c1cb8,"Bind8"
0x71013c1cbe,"FairyPrincess01"
0x71013c1cce,"WaitHappyGoalPole"
0x71013c1ce0,"GoalPoleTop"
0x71013c1cec,"GoalPoleFall"
0x71013c1cf9,"GoalPoleLand"
0x71013c1d06,"AfterWait"
0x71013c1d10,"%s%s%s"
0x71013c1d17,"FocusCameraHoldStep_3"
0x71013c1d2d,"WaitLod03"
0x71013c1d37,"スーパーこのはリスト"
0x71013c1d56,"TouchWait"
0x71013c1d60,"Opening"
0x71013c1d68,"LighthouseRise"
0x71013c1d77,"落雷エフェクトオブジェ"
0x71013c1d99,"トゲロール部分"
0x71013c1daf,"NormalMap2"
0x71013c1dba,"WATER"
0x71013c1dc0,"Link_Orange"
0x71013c1dcc,"PgCompleteEffect"
0x71013c1ddd,"GravityPower"
0x71013c1dea,"TakeWater"
0x71013c1df4,"SignBoardCatTrace"
0x71013c1e06,"IsOnGroundOnly"
0x71013c1e15,"PlessiDiveGuide_SingleJoycons"
0x71013c1e35,"ProjLightFar"
0x71013c1e42,"LoopScrollStepLink"
0x71013c1e55,"LookStart"
0x71013c1e5f,"SuperSkateRail"
0x71013c1e6e,"ClippingTarget"
0x71013c1e7d,"壁ヒット"
0x71013c1e8a,"IsHideShadowMask"
0x71013c1e9b,"pgReady"
0x71013c1ea3,"pgMove"
0x71013c1eaa,"TransparentWallClipped"
0x71013c1ec1,"TrapezeSwing"
0x71013c1ece,"TreePalm"
0x71013c1ed7,"IsUseRhythmAnimControl"
0x71013c1eee,"スイッチ出現デモ"
0x71013c1f07,"IsUseBreakModel"
0x71013c1f17,"n2081"
0x71013c1f1d,"n2125"
0x71013c1f23,"N2239"
0x71013c1f29,"n2826"
0x71013c1f2f,"きくち"
0x71013c1f39,"KinopioBrigadeNpc"
0x71013c1f4b,"WaitLookRightStart"
0x71013c1f5e,"WaitSad"
0x71013c1f66,"IntroCameraRing"
0x71013c1f76,"StopOnGroundOnly"
0x71013c1f87,"TailAttackSquatAir"
0x71013c1f9a,"ClimbWallKeep"
0x71013c1fa8,"GigaSpinJumpL"
0x71013c1fb6,"SquatSlide"
0x71013c1fc1,"CarryFrontThrow"
0x71013c1fd1,"PgGiantEnd"
0x71013c1fdc,"反射[壁ヒット]"
0x71013c1ff1,"SuperDashTimerMini"
0x71013c2004,"DashAccelFrame"
0x71013c2013,"RoundLimitDegreeMax"
0x71013c2027,"ReleaseAccelFrame"
0x71013c2039,"RaccoonDogFallSpeedMax"
0x71013c2050,"WallClimbSlideSideMaxSpeed"
0x71013c206b,"DashBrakeCommandFrame"
0x71013c2081,"TurnJumpVelH"
0x71013c208e,"WaitRollingNoBrakeFrame"
0x71013c20a6,"RaccoonDogDashRollingSideMaxSpeed"
0x71013c20c8,"DamageCancelFrame"
0x71013c20da,"StandSwimFromDiveRisePowerClimb"
0x71013c20fa,"SlideSideAccelOnLevelLand"
0x71013c2114,"GigaNormalRollingMinSpeed"
0x71013c212e,"GigaLongJumpSpeedMin"
0x71013c2143,"FlashRangeAttackHeightMin"
0x71013c215d,"DeadDeathCode"
0x71013c216b,"MarioRaccoonDogStatue"
0x71013c2181,"Player:Mini"
0x71013c218d,"ObjectData/"
0x71013c2199,"PlayerAnimSensor"
0x71013c21aa,"cooperate_play"
0x71013c21b9,"scene_id"
0x71013c21c2,"Player2"
0x71013c21ca,"PgSwimLow"
0x71013c21d4,"PgStroke"
0x71013c21dd,"WaitState"
0x71013c21e7,"NekoRidePoof1"
0x71013c21f5,"エンディングデモシーン"
0x71013c2217,"SingleModeScene"
0x71013c2227,"cTextureNeon"
0x71013c2234,"BossLOD"
0x71013c223c,"ProfilingWarpPoint"
0x71013c224f,"BreakMapParts"
0x71013c225d,"CandlestandWatcher"
0x71013c2270,"EffectObjBattleArenaBunBun"
0x71013c228b,"FairyMii"
0x71013c2294,"KoopaLastDefendeBlockPow"
0x71013c22ad,"KoopaLastWall"
0x71013c22bb,"KoopaLastWallClimb"
0x71013c22ce,"TeresaConveyorBench"
0x71013c22e2,"TrampleSwitchGold"
0x71013c22f4,"WheelMapParts"
0x71013c2302,"WheelWatcher"
0x71013c230f,"ブーメランフラワー[真上出現]"
0x71013c2339,"無敵このは[アイテムストック]"
0x71013c2363,"シーン生成"
0x71013c2373,"OceanScenarios"
0x71013c2382,"2D"
0x71013c2385,"PgBowserVoice"
0x71013c2393,"WipeMiss"
0x71013c239c,"シーン初期化スレッド"
0x71013c23bb,"2DDrawSequence"
0x71013c23ca,"コース選択ステート"
0x71013c23e6,"Stationed[In3DWorldTitle]"
0x71013c2400,"StageTimer"
0x71013c240b,"クッパ城[戦車]"
0x71013c2420,"RosettaComplete"
0x71013c2430,"KinopioBrigadeMember2"
0x71013c2446,"ヒップドロップ衝撃波"
0x71013c2465,"nvnQueueBuilderGetQueueMemorySize"
0x71013c2487,"nvnQueueInitialize"
0x71013c249a,"nvnMemoryPoolBuilderGetDevice"
0x71013c24b8,"nvnTexturePoolFinalize"
0x71013c24cf,"nvnTextureViewGetTarget"
0x71013c24e7,"nvnTextureGetDepth"
0x71013c24fa,"nvnTextureCompare"
0x71013c250c,"nvnSamplerBuilderSetWrapMode"
0x71013c2529,"nvnSamplerBuilderGetBorderColorui"
0x71013c254b,"nvnCommandBufferEndRecording"
0x71013c2568,"nvnCommandBufferMultiDrawElementsIndirectCount"
0x71013c2597,"__CUS_Rgba_0"
0x71013c25a4,"uVgConstantBufferPS"
0x71013c25b8,"System Static     WorkSize : %d \n"
0x71013c25da,"The Resource to be cleared does not exist. ResourceId : %d.\n"
0x71013c2617,"The EmitterSet is not found in this resource. EmitterSet Id : %d. ResourceId : %d\n"
0x71013c266a,"sysCustomShaderTextureSampler1"
0x71013c2689,"sysCustomShaderReservedUniformBlockParam"
0x71013c26b2,"calcCore_"
0x71013c26bc,"Forward"
0x71013c26c4,"%02d:%02d:%02d.%03d"
0x71013c26d8,"ASE64["
0x71013c26e1,"\n//=================================================//"
0x71013c2718,"NVN_DEVICE_INFO_UNIFORM_BUFFER_ALIGNMENT"
0x71013c2741,"NVN_DEVICE_INFO_RESERVED_TEXTURE_DESCRIPTORS"
0x71013c276e,"NVN_DEVICE_INFO_MAX_COMPUTE_DISPATCH_WORK_GROUPS_X"
0x71013c27a1,"NVN_DEVICE_INFO_SUPPORTS_TARGET_INDEPENDENT_RASTERIZATION"
0x71013c27db,"cTextureFormat_R8_uInt"
0x71013c27f2,"cTextureFormat_R8_G8_uInt"
0x71013c280c,"cTextureFormat_R32_sInt"
0x71013c2824,"cTextureFormat_R16_G16_B16_A16_sNorm"
0x71013c2849,"cTextureFormat_BC1_SRGB"
0x71013c2861,"cTextureFormat_BC7_uNorm"
0x71013c287a,"u32"
0x71013c287e,"agl::detail::ShaderHolder"
0x71013c2898,"depth_2d_array_min"
0x71013c28ab,"color_2d_array_max"
0x71013c28be,"texture_multi_sample_1x"
0x71013c28d6,"light_pre_pass_proj_light"
0x71013c28f0,"vdm"
0x71013c28f4,"sky_irradiance"
0x71013c2903,"uMultiSampleNum"
0x71013c2913,"cProj[0]"
0x71013c291c,"cProjViewWorld[0]"
0x71013c292e,"cThresholdParam"
0x71013c293e,"cColorCorrectionCoeff"
0x71013c2954,"cScreenParam"
0x71013c2961,"cTextureSMAASearch"
0x71013c2974,"cTextureRotate"
0x71013c2983,"cCameraParam"
0x71013c2990,"cParam1"
0x71013c2998,"cTexSizeRCP"
0x71013c29a4,"texStaticDepthShadow"
0x71013c29b9,"cDistanceParam"
0x71013c29c8,"%2d) %s / block: %2d / offset: %3d / array_size: %3d / array_stride: %3d"
0x71013c2a11,"Min = 1.0, Max = 4.0"
0x71013c2a26,"cScatteringCoeffMie"
0x71013c2a3a,"cFade"
0x71013c2a40,"ifdef"
0x71013c2a46,"%d : %s"
0x71013c2a4e,"MultiFilterReduce"
0x71013c2a60,"MultiFilterExpand"
0x71013c2a72,"blur_num"
0x71013c2a7b,"トイカメラフィルタを初めに処理する"
0x71013c2aaf,"DRC"
0x71013c2ab3,"GroupHeader = %s screen, Dir = Y"
0x71013c2ad4,"Min = -0.05, Max = 0.05"
0x71013c2aec,"ghost_color_5"
0x71013c2afa,"alchemy_max_radius"
0x71013c2b0d,"alchemy_sample_pair_num"
0x71013c2b25,"mip_blur_num"
0x71013c2b32,"Min=1, Max=16"
0x71013c2b40,"difbuf_light"
0x71013c2b4d,"dif_expand_%d"
0x71013c2b5b,"indirect_scale"
0x71013c2b6a,"vignetting_blur"
0x71013c2b7a,"dof_depth_mipmap"
0x71013c2b8b,"%.1f KB"
0x71013c2b93,"World位置"
0x71013c2b9f,"Texture2Idx%d"
0x71013c2bad,"Intensity%d"
0x71013c2bb9,"ビルボード向きの基準軸"
0x71013c2bdb,"%2d:%-64s(%4d[byte]) x %3d = %8d[byte]"
0x71013c2c02,"Min = 0,Max = 1.0"
0x71013c2c14,"RGBA8"
0x71013c2c1a,"RegionType"
0x71013c2c25,"_open"
0x71013c2c2b,"BoxCursor"
0x71013c2c35,"TouchUnSelect"
0x71013c2c43,"AlignAsParts"
0x71013c2c50,"画面高さ"
0x71013c2c5d,"IsClearGBufferViewDepth"
0x71013c2c75,"Nequal"
0x71013c2c7c,"３Ｄ（デプスシャドウプレイヤー）"
0x71013c2cad,"DRCassistSyncGroup"
0x71013c2cc0,"TerrainDecoration"
0x71013c2cd2,"デプスシャドウ[地形]"
0x71013c2cf0,"シルエット[乗り物]"
0x71013c2d0b,"ActorModelDrawDeferredSilhouette"
0x71013c2d2c,"地形オブジェ目立たせ[キャラ後][不透明]"
0x71013c2d64,"ディファード空[デモ]"
0x71013c2d82,"GoalItem[Forward]"
0x71013c2d94,"2DSequence"
0x71013c2d9f,"FileLoadThread"
0x71013c2dae,"FogIntensity"
0x71013c2dbb,"bloom_param"
0x71013c2dc7,"ShadowType"
0x71013c2dd2,"LppProjLight"
0x71013c2ddf,"MapPartsData"
0x71013c2dec,"TRSV"
0x71013c2df1,"InitScale"
0x71013c2dfb,"RadialBlurRadiusBegin"
0x71013c2e11,"MiddleSign"
0x71013c2e1c,"MaxDegree"
0x71013c2e26,"MoveStart1"
0x71013c2e31,"MoveEndDegree"
0x71013c2e3f,"シーン"
0x71013c2e49,"apply_mode_%s_%s"
0x71013c2e5a,"CatFur"
0x71013c2e61,"cFarDist1"
0x71013c2e6b,"IsLerpDepthStartMulti"
0x71013c2e81,"GraphicsParamRequestName"
0x71013c2e9a,"CameraMaskTex"
0x71013c2ea8,"CameraMaskScale"
0x71013c2eb8,"ComposeLightStreak"
0x71013c2ecb,"SunZRotDegree"
0x71013c2ed9,"uDeltaSR"
0x71013c2ee2,"shape"
0x71013c2ee8,"5:くっきり下明るめスフィアマップ（鉱石ブロック）"
0x71013c2f30,"character"
0x71013c2f3a,"Weak Obj"
0x71013c2f43,"Block Map"
0x71013c2f4d,"スフィアＤＯコーン角度(Degree)"
0x71013c2f77,"Min=100,Max=100000"
0x71013c2f8a,"Min=0.0f, Max=100000.0f"
0x71013c2fa2,"F32"
0x71013c2fa6,"ActorParamJump"
0x71013c2fb5,"SpeedMinToRebound"
0x71013c2fc7,"OnCondition"
0x71013c2fd3,"AudioEffectName"
0x71013c2fe3,"        %3d"
0x71013c2fef,"LoopStartNo"
0x71013c2ffb,"ModFreq"
0x71013c3003,"BgmLineInfoList"
0x71013c3013,"CombinedLineInfoList"
0x71013c3028,"PlayInfoList"
0x71013c3035,"FadeOutFrameNumForCurBgm"
0x71013c304e,"Ba1"
0x71013c3052,"St7"
0x71013c3056,"Sq7"
0x71013c305a,"カメラの線分コライダー"
0x71013c307c,"StartAngleV"
0x71013c3088,"TargetPlayerPlayerHeightMin"
0x71013c30a4,"MoveLimitMultiMaxY"
0x71013c30b7,"21m Fixed"
0x71013c30c1,"InterpoleCurveType"
0x71013c30d4,"塔の内側"
0x71013c30e1,"Deferred Object"
0x71013c30f1,"CursorBL"
0x71013c30fa,"layout.lyarc"
0x71013c3107,"System"
0x71013c310e,"ReplaceTagLabel"
0x71013c311e,"REDUCTION_TYPE"
0x71013c312d,"RetroColorDraw"
0x71013c313c,"MosaicPictureDraw"
0x71013c314e,"リニアデプスで判定"
0x71013c316a,"GaussianTypeForEdge"
0x71013c317e,"KERNEL_SIZE"
0x71013c318a,"IS_USE_WHITE_EDGE"
0x71013c319c,"uNormalNearParam"
0x71013c31ad,"魚眼有効"
0x71013c31ba,"uCanvasTexture"
0x71013c31c9,"uParams2"
0x71013c31d2,"ネオン"
0x71013c31dc,"IsUseDepth"
0x71013c31e7,"cCoinTextureAlb"
0x71013c31f7,"TextureGbColorPalette"
0x71013c320d,"VIGNETTING_BLUR"
0x71013c321d,"SeMeRouteDokanMoveLv"
0x71013c3232,"uStepSize"
0x71013c323c,"IsConnectToCollision"
0x71013c3251,"CameraNoRotateArea"
0x71013c3264,"TorpedoSpikeRestrictionArea"
0x71013c3280,"Reload"
0x71013c3287,"ボスゴロボン岩"
0x71013c329d,"攻撃予兆影"
0x71013c32ad,"横回転着地"
0x71013c32bd,"MoveEndUp"
0x71013c32c7,"BunbunSpinArmChameleon"
0x71013c32de,"InkPuddle"
0x71013c32e8,"EffectObjDarkBowserRain"
0x71013c3300,"BodyDM"
0x71013c3307,"HrShellStuckHitLastJr"
0x71013c331d,"ShellHitBounce"
0x71013c332c,"ShellSpike"
0x71013c3337,"LaserHitWater"
0x71013c3345,"LeftOverThrow"
0x71013c3353,"BreathFireLeft"
0x71013c3362,"DownLastTop"
0x71013c336e,"Color"
0x71013c3374,"ルート土管アウト"
0x71013c338d,"Resize"
0x71013c3394,"体影"
0x71013c339b,"BowserBetweenLegsArea"
0x71013c33b1,"RevealPhase3"
0x71013c33be,"ChaseLand"
0x71013c33c8,"AttackCount"
0x71013c33d4,"Laser2"
0x71013c33db,"Effect Scale"
0x71013c33e8,"Follow Offset Tangent Plessie Chase V2 Lv 3 (In direction of Bowser)"
0x71013c342d,"FallingScale"
0x71013c343a,"Black Sun"
0x71013c3444,"BLACK SUN STEP: EARLY RISE"
0x71013c345f,"テンタックの攻撃弾発射ステート"
0x71013c348d,"テンタック子蛇の足元モデル"
0x71013c34b5,"BackSign"
0x71013c34be,"Ray"
0x71013c34c2,"ClimbClimbWall"
0x71013c34d1,"最大引きフレーム"
0x71013c34ea,"ResetAngleDegreeH"
0x71013c34fc,"IslandIntroDemo"
0x71013c350c,"DiveGroundGetupDirtPile"
0x71013c3524,"Character"
0x71013c352e,"BottleOuter"
0x71013c353a,"CourseSelectFlag"
0x71013c354b,"コース選択ルート土管"
0x71013c356a,"コースセレクト始点[ミニチュア]"
0x71013c3597,"PgCourseSelectEachDokanOut"
0x71013c35b2,"Player"
0x71013c35b9,"エンディング後デモワイプ"
0x71013c35de,"IlluminationOn1"
0x71013c35ee,"メッセージウインドウ"
0x71013c360d,"SuffixName"
0x71013c3618,"StageStartEventTimer"
0x71013c362d,"[state]つぶれ吹き飛ばし"
0x71013c364d,"ボスブンレツ集合中の専用モデル"
0x71013c367b,"Pulse"
0x71013c3681,"ScaffoldType"
0x71013c368e,"吹き飛び死亡"
0x71013c36a1,"SwitchNoticeOn"
0x71013c36b0,"CrawlerBig"
0x71013c36bb,"DarkBowserRingBeamShadow"
0x71013c36d4,"EnemyAttachItem"
0x71013c36e4,"Probability"
0x71013c36f0,"Sweat"
0x71013c36f6,"PgDie"
0x71013c36fc,"WingR2"
0x71013c3703,"Attack1"
0x71013c370b,"キラーの飛行状態"
0x71013c3724,"AttackHead"
0x71013c372f,"ボディアタック"
0x71013c3745,"タワークリボー子"
0x71013c375e,"SleepTower"
0x71013c3769,"Peto"
0x71013c376e,"AttackFloor"
0x71013c377a,"joint4"
0x71013c3781,"GroundType"
0x71013c378c,"Enemy"
0x71013c3792,"スケーティス頭部分"
0x71013c37ae,"StartRate"
0x71013c37b8,"テンテン"
0x71013c37c5,"テンテングループ"
0x71013c37de,"Island04"
0x71013c37e7,"トランポリンジャンプ"
0x71013c3806,"Trace"
0x71013c380c,"ClimbJump3"
0x71013c3817,"DieBlowDown"
0x71013c3823,"OptionsMenu"
0x71013c382f,"PgLogoChangeNone"
0x71013c3840,"ChangeStamp_Handheld_Right"
0x71013c385b,"TorpedoSpikeOffsetScale2X_%d"
0x71013c3878,"TorpedoSpikeZOffsetScale4_%d"
0x71013c3895,"DisasterSpikeDirtGoldExplode"
0x71013c38b2,"ClearEffectOnKill"
0x71013c38c4,"HitBellCameraShake"
0x71013c38d7,"CameraIcon Layout"
0x71013c38e9,"GoalItemAdd"
0x71013c38f5,"ShowPlayer"
0x71013c3900,"マイナスボタン"
0x71013c3916,"AppearThought"
0x71013c3924,"Appear_Icon"
0x71013c3930,"PicDeepWater"
0x71013c393d,"IslandInfo"
0x71013c3948,"TxtGreenStarMaxBase"
0x71013c395c,"MapMenu_W5"
0x71013c3967,"ConfirmComment"
0x71013c3976,"EndSubMenu"
0x71013c3981,"マップへもどる"
0x71013c3997,"PlayWaitInWipe"
0x71013c39a6,"PgMoveCursorRemote"
0x71013c39b9,"PlayerEntryMessage"
0x71013c39cc,"Sequence"
0x71013c39d5,"RemoconNum2"
0x71013c39e1,"MapMenu_Gen"
0x71013c39ed,"SetMode_Single"
0x71013c39fc,"CountDownEnd"
0x71013c3a09,"Char4"
0x71013c3a0f,"KinopioBrigadeMember_Y"
0x71013c3a26,"TitleStart"
0x71013c3a31,"TestAoyagiLayout"
0x71013c3a42,"TitleLogo_Start_SingleJoy"
0x71013c3a5c,"MainTitle"
0x71013c3a66,"WindowConfirmSingle"
0x71013c3a7a,"WindowProcessing"
0x71013c3a8b,"PicCrown"
0x71013c3a94,"スコアリザルト"
0x71013c3aaa,"WipeCurtainStart_World"
0x71013c3ac1,"    V++"
0x71013c3ac9,"  <%c> +0x01"
0x71013c3ad6,"HVC            "
0x71013c3ae6,"undef ora_03"
0x71013c3af3,"undef adc_73"
0x71013c3b00,"ADC %02X%02X,x  "
0x71013c3b11,"LDX %02X%02X,y  "
0x71013c3b22,"StateRouteDokanIn"
0x71013c3b34,"OnWaitTime"
0x71013c3b3f,"HalfUp"
0x71013c3b46,"Reaction1"
0x71013c3b50,"壊れ再生[軽量]"
0x71013c3b65,"SwitchKockOn"
0x71013c3b72,"BlockRailMove"
0x71013c3b80,"BlockRoulette"
0x71013c3b8e,"ItemAppearAction"
0x71013c3b9f,"FlyWaitWater"
0x71013c3bac,"Propeller"
0x71013c3bb6,"BoxPropellerPropeller"
0x71013c3bcc,"キック甲羅ヒット"
0x71013c3be5,"頂上到着"
0x71013c3bf2,"DoorLock"
0x71013c3bfb,"DoorLockBreak"
0x71013c3c09,"花火"
0x71013c3c10,"GigaBellClean"
0x71013c3c1e,"Base Socket Offset Z"
0x71013c3c33,"Base Socket Offset First X"
0x71013c3c4e,"Base Socket Offset First Z"
0x71013c3c69,"Giga Bell Movement Pattern Circle"
0x71013c3c8b,"SwitchDemoAnimateEndOn"
0x71013c3ca2,"AppearRise"
0x71013c3cad,"ゴールポールバインド操作"
0x71013c3cd2,"DemoBeforeEndingStart"
0x71013c3ce8,"Bind6"
0x71013c3cee,"MoveRestartDistance"
0x71013c3d02,"HardDisasterGraphicsArea"
0x71013c3d1b,"ProjTex%s"
0x71013c3d25,"After_4"
0x71013c3d2d,"pgCarStereo"
0x71013c3d39,"GraffitiMono"
0x71013c3d46,"WaitFront"
0x71013c3d50,"リフティング"
0x71013c3d63,"コウラ滑り再スタート"
0x71013c3d82,"KouraGuide_SingleJoycons"
0x71013c3d9b,"KouraDizzyLoop"
0x71013c3daa,"LighthouseInk"
0x71013c3db8,"LighthouseFlagPoleShow"
0x71013c3dcf,"LightningEffectObj"
0x71013c3de4,"RefractionFactor"
0x71013c3df5,"TEX_COORD_CALC_TYPE"
0x71013c3e09,"NoteNo"
0x71013c3e10,"黄色"
0x71013c3e17,"SkipIntro"
0x71013c3e21,"MoveMode"
0x71013c3e2a,"PgRouteDokanBlowEnemy"
0x71013c3e40,"TouchGuideMessage"
0x71013c3e52,"AssistModeExplanation"
0x71013c3e68,"StockItemGuide_DualJoycon"
0x71013c3e82,"LppType"
0x71013c3e8a,"[state]Homing"
0x71013c3e98,"SwitchBlock"
0x71013c3ea4,"移動"
0x71013c3eab,"CoinBlue"
0x71013c3eb4,"SwingCycle"
0x71013c3ebf,"SwitchStumpOn"
0x71013c3ecd,"DestCube"
0x71013c3ed6,"SwitchObjectCameraKeepOn"
0x71013c3eef,"Twinkle"
0x71013c3ef7,"SwitchRiseDoneOn"
0x71013c3f08,"DelayRise"
0x71013c3f12,"こんどう"
0x71013c3f1f,"くろねこ"
0x71013c3f2c,"n1985"
0x71013c3f32,"よこた"
0x71013c3f3c,"N2034"
0x71013c3f42,"n2186"
0x71013c3f48,"n2240"
0x71013c3f4e,"n2973"
0x71013c3f54,"n3160"
0x71013c3f5a,"モノクマ"
0x71013c3f67,"IndexNo"
0x71013c3f6f,"NoDelete_AppearConditionMiniature"
0x71013c3f91,"TrampledViewPoint"
0x71013c3fa3,"Wave"
0x71013c3fa8,"WaitSleepEnd"
0x71013c3fb5,"WaitStartle"
0x71013c3fc1,"[state]RunAwayFast"
0x71013c3fd4,"CollectJump"
0x71013c3fe0,"Happy"
0x71013c3fe6,"collect"
0x71013c3fee,"PlayerActor"
0x71013c3ffa,"終了状態"
0x71013c4007,"DemoRosettaAppearance4"
